id, parentType,userID,icon,description
"","4","1","armchair4.png","Arm Chair"
"","4","1","babyclothes.png","Baby Clothes"
"","4","1","basketball.png","Basketball"
"","2","1","bathroom.png","Bath Room"
"","3","1","bathroomvanity.png","Vanity"
"","1","1","beachhouse.png","Beach House"
"","2","1","bedroom10.png","Bedroom Furniture"
"","3","1","bedroom12.png","Vanity 1"
"","2","1","bedroom13.png","Dresser 1"
"","2","1","bedroom15.png","Dresser 2"
"","2","1","bedroom16.png","Dresser 3"
"","2","1","bedroom3.png","Dresser 4"
"","2","1","bedroom4.png","Dresser 5"
"","3","1","bedroomarmoire.png","Armoire"
"","3","1","bedroomvanity.png","Vanity 2"
"","4","1","beds12.png","Twin Beds"
"","4","1","bicycle14.png","Exercise Equipment"
"","1","1","big101.png","Mansion"
"","4","1","bikini4.png","Bikini"
"","4","1","blender2.png","Blender"
"","4","1","boat44.png","Boat"
"","1","1","boat44.png","Boat"
"","4","1","books.png","Books"
"","1","1","bowl12.png","Microwave"
"","4","1","bowler-hat.png","Hat"
"","4","1","brush6.png","Brush"
"","4","1","buffet.png","Buffet"
"","4","1","bunk1.png","Bunk Bed"
"","1","1","cabin.png","Cabin"
"","4","1","camera3.png","Camera"
"","4","1","camper.png","Camper"
"","4","1","canoes.png","Kayak"
"","4","1","car.png","Car"
"","4","1","car221.png","Car"
"","1","1","caravan1.png","Trailer"
"","4","1","caravan1.png","Trailer"
"","4","1","cd13.png","Electronics"
"","4","1","chainsaw.png","Chainsaw"
"","4","1","chairs2.png","Chair 1"
"","4","1","chairs7.png","Chair 2"
"","4","1","children1.png","Kids"
"","4","1","clothes23.png","Clothes"
"","4","1","computers.png","Computer"
"","4","1","cooking17.png","Cook Gear"
"","4","1","costumes.png","Costumes"
"","4","1","couch.png","Couch"
"","4","1","couch2.png","Love Seat"
"","4","1","countryhome.png","Country House"
"","4","1","crib.png","Crib"
"","4","1","cupboard1.png","Cupboard"
"","4","1","cups7.png","Cups"
"","4","1","cutlery22.png","Fancy Silver"
"","4","1","cutting8.png","Clippers"
"","4","1","cycling.png","Sweet Bike (No Pegs)"
"","4","1","deckchair.png","Deck Furniture"
"","4","1","desk12.png","Desk"
"","4","1","dining1.png","Dining 1"
"","4","1","dining3.png","Dining 2"
"","4","1","dining4.png","Dining 3"
"","4","1","dining7.png","Dining 4"
"","4","1","dive10.png","Scuba Gear"
"","4","1","drawing20.png","Art Gear"
"","4","1","dress1.png","Dresses"
"","4","1","drink56.png","Blender"
"","4","1","drink73.png","Kitchen Aid"
"","4","1","drive7.png",""
"","4","1","dryer.png","Washer/Dryer"
"","4","1","dumbbell7.png","Weights"
"","4","1","dvd2.png","DVD Player"
"","4","1","dvd2.png","Blu Ray Player"
"","4","1","dvd2.png","CD Player"
"","4","1","earphones14.png","Beats Headphones"
"","4","1","easychair.png","Easy Chair"
"","4","1","fashion6.png","Hat Collection"
"","4","1","filecabinet.png","File Cabinet"
"","4","1","fisher.png","Fishing Gear"
"","4","1","fridge.png","Refrigerator"
"","4","1","furniture14.png","Table"
"","4","1","furniture25.png","Bed"
"","4","1","garden1.png","Barbecue"
"","4","1","garden12.png","Too Small, I'm losing my mind"
"","4","1","gardening3.png","Yard Tools"
"","4","1","gas9.png","Gas Pump"
"","4","1","golf22.png","Golf Gear"
"","2","1","guestbed.png","Guest Bedroom"
"","4","1","hanger26.png","Clothes"
"","4","1","heart80.png","Necklace"
"","4","1","highchair.png","High Chair"
"","4","1","home9.png","House"
"","4","1","house-things1.png","Another Table"
"","1","1","house.png","House"
"","4","1","image2.png",""
"","4","1","iron5.png",""
"","4","1","jacket.png",""
"","4","1","king11.png",""
"","4","1","kitchen51.png",""
"","4","1","kitchen56.png",""
"","4","1","kitchen6.png",""
"","4","1","lamp15.png","Lamp"
"","4","1","light14.png","Light"
"","4","1","living.png",""
"","2","1","livingroom.png","Living Room"
"","4","1","long35.png",""
"","4","1","lunch4.png",""
"","4","1","man321.png",""
"","4","1","man365.png",""
"","4","1","medicinecab.png",""
"","4","1","mobile-home.png",""
"","4","1","modern13.png",""
"","4","1","monitor.png",""
"","4","1","officechair.png",""
"","4","1","oven.png",""
"","4","1","oven5.png",""
"","4","1","painting61.png",""
"","4","1","pc6.png",""
"","4","1","phone52.png",""
"","4","1","pickup-truck.png",""
"","4","1","picnic.png",""
"","4","1","playground2.png",""
"","4","1","printer70.png",""
"","4","1","refrigerator8.png",""
"","4","1","rings.png",""
"","4","1","rug.png",""
"","4","1","rugbyball.png",""
"","1","1","sailboat.png",""
"","4","1","sailboat.png",""
"","4","1","saw.png",""
"","4","1","saw10.png",""
"","4","1","school32.png",""
"","4","1","sewing6.png",""
"","3","1","shelf1.png",""
"","4","1","ski.png","Ski Gear"
"","4","1","sofa10.png",""
"","4","1","sofa12.png",""
"","4","1","sofa9.png",""
"","4","1","speakers.png","Speakers"
"","4","1","sportsball15.png","Sports Balls"
"","4","1","sportsgear.png","Sports Gear"
"","4","1","stamps1.png","Stamp Collection"
"","4","1","steam8.png",""
"","4","1","stereo.png","Stereo"
"","4","1","stereo4.png","Big Stereo"
"","4","1","studio.png",""
"","4","1","studio10.png",""
"","4","1","suitcase57.png",""
"","4","1","surf.png","Surf Gear"
"","4","1","sweep2.png",""
"","4","1","table38.png",""
"","4","1","telephone79.png","Telephone"
"","4","1","television40.png","Television"
"","4","1","tent.png","Camping Gear"
"","4","1","tent6.png",""
"","4","1","toddlerclothes.png","Toddler Clothes"
"","4","1","top9.png","Toys"
"","4","1","toy4.png","More Toys"
"","4","1","tshirt18.png",""
"","4","1","tvdressser.png","TV/Dresser"
"","4","1","tvstereo.png","TV/Stereo"
"","4","1","utensil4.png",""
"","4","1","vacuum6.png",""
"","4","1","videocamera.png","Video Camera"
"","4","1","videogame4.png","Game System"
"","4","1","wallet17.png","Wallet"
"","4","1","washing.png","Washing Machine"
"","4","1","wine47.png","Wine Collection"
"","4","1","wrench86.png","Tools"
"","4","1","yarn.png","Crafts"
"","4","1","jewel.png","Jewelry"